max_stocks,max_sector_weight,max_stock_weight,avg_sharpe,avg_cagr,avg_max_drawdown,n_windows
10,0.25,0.25,0.700834242500988,0.11153490427266549,-0.16947006332387568,4
10,0.25,0.15,0.6482559314249281,0.10951364946408151,-0.1756367572955368,4
10,0.25,0.1,0.6458817906895887,0.10351541358679392,-0.16945420287051582,4
15,0.25,0.25,0.6416042065748903,0.11734275106405531,-0.17799673017699671,4
15,0.25,0.15,0.5828179865936428,0.11012242564245339,-0.1683052577821011,4
15,0.25,0.1,0.5735136387454535,0.09751889976645756,-0.16701964669566102,4
25,0.25,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
10,0.6,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
15,0.6,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
15,0.4,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
20,0.6,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
20,0.4,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
25,0.6,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
25,0.4,0.25,0.4944685445515195,0.08473395854136176,-0.18613748981762762,4
10,0.4,0.25,0.4886364149022291,0.08270909781440236,-0.18088801884279365,4
20,0.25,0.25,0.47745167148674744,0.08260879025298792,-0.18645310458781436,4
10,0.4,0.15,0.46810760068173574,0.09184008804613128,-0.16805923045913637,4
25,0.6,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
15,0.6,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
10,0.6,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
20,0.6,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
25,0.4,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
25,0.25,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
20,0.4,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
15,0.4,0.15,0.46604628923972635,0.0910539959201287,-0.17383302420252011,4
10,0.4,0.1,0.46053821129715244,0.08008354950840849,-0.168435621292218,4
20,0.25,0.15,0.4573053190015828,0.09010104605044289,-0.17439271189418018,4
10,0.6,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
25,0.25,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
15,0.6,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
15,0.4,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
20,0.4,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
25,0.4,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
20,0.6,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
25,0.6,0.1,0.4571754212222353,0.07934786650804931,-0.17388297934263688,4
20,0.25,0.1,0.4498674604250248,0.07853102671004922,-0.17421891893380728,4
