Ticker,Shares
RY.TO,404.20397892368356
LMT,191.90145056537528
KO,941.6580780336554
CAT,165.41617212121812
AAPL,317.49133041661185
PEP,427.3062601294632
LLY,100.40867088659543
TD.TO,571.6129727918665
ABBV,166.07163394257816
UNP,298.32697534943696
