max_stocks,max_sector_weight,max_stock_weight,avg_sharpe,avg_cagr,avg_max_drawdown,n_windows
10,0.25,0.15,0.8372081048259087,0.13984609839368717,-0.17319080949459417,4
10,0.25,0.25,0.8033539627563373,0.1318099762610973,-0.17578185605257557,4
10,0.25,0.1,0.7750925151848869,0.12900806074022775,-0.17244965048058997,4
15,0.25,0.15,0.7224492133019391,0.11944882160416398,-0.18594836656031302,4
15,0.25,0.1,0.64785174887876,0.10829776147009507,-0.1819722872520426,4
15,0.25,0.25,0.6068707022180839,0.10078470896213004,-0.18423762404777808,4
10,0.4,0.15,0.5615815002166085,0.08882947181351875,-0.19126455137364978,4
10,0.4,0.1,0.49140767108742534,0.07939764412795713,-0.18920836866034335,4
10,0.6,0.15,0.4765090958788686,0.07610908056579663,-0.20191146011844785,4
15,0.4,0.15,0.4765090958788686,0.07610908056579663,-0.20191146011844785,4
25,0.25,0.15,0.4765090958788686,0.07610908056579663,-0.20191146011844785,4
10,0.4,0.25,0.47209476723433513,0.07581370058576203,-0.1890410985190964,4
20,0.4,0.15,0.4641431175537655,0.07457281310197378,-0.19910492931838308,4
25,0.25,0.25,0.46071512908036516,0.07653449605692653,-0.1931645571236629,4
15,0.4,0.25,0.46071512908036516,0.07653449605692653,-0.1931645571236629,4
10,0.6,0.25,0.46071512908036516,0.07653449605692653,-0.1931645571236629,4
20,0.6,0.15,0.46038445597174266,0.07408431653350472,-0.19910493523305545,4
15,0.6,0.15,0.46038445597174266,0.07408431653350472,-0.19910493523305545,4
25,0.4,0.15,0.46038445597174266,0.07408431653350472,-0.19910493523305545,4
25,0.6,0.15,0.46038445597174266,0.07408431653350472,-0.19910493523305545,4
20,0.25,0.25,0.43725611563919575,0.070751495450113,-0.19413196918523185,4
20,0.25,0.15,0.4368294995103444,0.06810317666255183,-0.20552730642202893,4
20,0.4,0.25,0.42892366033635565,0.07215446634335848,-0.1942651646785028,4
25,0.6,0.25,0.42520729044862837,0.0716725022157329,-0.19426517684155437,4
15,0.6,0.25,0.42520729044862837,0.0716725022157329,-0.19426517684155437,4
25,0.4,0.25,0.42520729044862837,0.0716725022157329,-0.19426517684155437,4
20,0.6,0.25,0.42520729044862837,0.0716725022157329,-0.19426517684155437,4
10,0.6,0.1,0.4175024524914332,0.06836134862557422,-0.19884724376612165,4
15,0.4,0.1,0.4175024524914332,0.06836134862557422,-0.19884724376612165,4
25,0.25,0.1,0.4175024524914332,0.06836134862557422,-0.19884724376612165,4
20,0.4,0.1,0.4066490518235431,0.0670103705709578,-0.19645490098363336,4
15,0.6,0.1,0.40350713113601683,0.06659278497869395,-0.19645491141460544,4
25,0.4,0.1,0.40350713113601683,0.06659278497869395,-0.19645491141460544,4
20,0.6,0.1,0.40350713113601683,0.06659278497869395,-0.19645491141460544,4
25,0.6,0.1,0.40350713113601683,0.06659278497869395,-0.19645491141460544,4
20,0.25,0.1,0.38305945246849177,0.06155266394440434,-0.2019294654532686,4
