max_stocks,max_sector_weight,max_stock_weight,window_start,window_end,backtest_id,strategy_total_return,strategy_cagr,strategy_annualized_vol,strategy_sharpe,strategy_max_drawdown,strategy_pct_positive_months
10,0.25,0.1,2015-01-01,2018-01-01,151,0.23250620043646242,0.07420063000224508,0.1125112262723028,0.6934446868829259,-0.132494470103673,0.5428571428571428
10,0.25,0.15,2015-01-01,2018-01-01,152,0.24101326316073957,0.07673351606899659,0.11342549372722772,0.7095463520223738,-0.12602200855711632,0.5428571428571428
10,0.25,0.25,2015-01-01,2018-01-01,153,0.2530379978709043,0.08029434886201692,0.11238642908098084,0.7445176823211818,-0.13911928941267981,0.5714285714285714
10,0.4,0.1,2015-01-01,2018-01-01,154,0.19800400870224455,0.0638084357161739,0.11707999418367726,0.5877255355547938,-0.1463274608468511,0.6
10,0.4,0.15,2015-01-01,2018-01-01,155,0.23568169511291126,0.07514744005549234,0.11750669973753486,0.6763702283103445,-0.14964041038156906,0.5714285714285714
10,0.4,0.25,2015-01-01,2018-01-01,156,0.19882814115283498,0.06405894665383394,0.11766808540220001,0.5873949504904431,-0.16894918534694736,0.5428571428571428
10,0.6,0.1,2015-01-01,2018-01-01,157,0.19678088944935856,0.06343643606147853,0.11936188102174697,0.5758291482045804,-0.15233564498924368,0.5714285714285714
10,0.6,0.15,2015-01-01,2018-01-01,158,0.23131443500064885,0.07384487752609337,0.12032104399858042,0.6532539290781585,-0.15627232016496762,0.5714285714285714
10,0.6,0.25,2015-01-01,2018-01-01,159,0.19789343245918944,0.06377481531463669,0.11891914779177173,0.5802278121823529,-0.165818310388112,0.5142857142857142
15,0.25,0.1,2015-01-01,2018-01-01,160,0.22178048249790283,0.07099072421291375,0.11485560892881093,0.6555201573601611,-0.13666777302563893,0.5428571428571428
15,0.25,0.15,2015-01-01,2018-01-01,161,0.24835427824867606,0.0789100622516945,0.11551696977491017,0.7162882832629416,-0.1401137679843949,0.5428571428571428
15,0.25,0.25,2015-01-01,2018-01-01,162,0.19784283564733585,0.06375943081305069,0.11270364204761404,0.605661520138694,-0.15610655772904536,0.5428571428571428
15,0.4,0.1,2015-01-01,2018-01-01,163,0.19678088944935856,0.06343643606147853,0.11936188102174697,0.5758291482045804,-0.15233564498924368,0.5714285714285714
15,0.4,0.15,2015-01-01,2018-01-01,164,0.23131443500064885,0.07384487752609337,0.12032104399858042,0.6532539290781585,-0.15627232016496762,0.5714285714285714
15,0.4,0.25,2015-01-01,2018-01-01,165,0.19789343245918944,0.06377481531463669,0.11891914779177173,0.5802278121823529,-0.165818310388112,0.5142857142857142
15,0.6,0.1,2015-01-01,2018-01-01,166,0.2132675798495418,0.06842983622628318,0.12084374902684629,0.609089325295024,-0.1517559557933016,0.5714285714285714
15,0.6,0.15,2015-01-01,2018-01-01,167,0.25242563414375896,0.08011355659670882,0.12205289128550954,0.6934994707178255,-0.1555974176589635,0.5714285714285714
15,0.6,0.25,2015-01-01,2018-01-01,168,0.20798321404346076,0.06683422154909247,0.12068569282106655,0.5973401893268611,-0.1689562473303553,0.4857142857142857
20,0.25,0.1,2015-01-01,2018-01-01,169,0.18532644201061466,0.059940483010824774,0.11890165927219276,0.5498542299934682,-0.15429232021010553,0.6
20,0.25,0.15,2015-01-01,2018-01-01,170,0.2180298940891685,0.06986390682441557,0.11990517283294762,0.624069554193039,-0.1585118583261088,0.5714285714285714
20,0.25,0.25,2015-01-01,2018-01-01,171,0.1909306456559845,0.061653675774430816,0.11886228363319389,0.5636303421296426,-0.16822114833423962,0.5428571428571428
20,0.4,0.1,2015-01-01,2018-01-01,172,0.20512008890153766,0.0659677828071159,0.1206479003873361,0.5907282362983941,-0.1517559557933016,0.5714285714285714
20,0.4,0.15,2015-01-01,2018-01-01,173,0.2426401770123976,0.07721661044921424,0.121834015857993,0.6724449908993638,-0.1555974176589635,0.5714285714285714
20,0.4,0.25,2015-01-01,2018-01-01,174,0.19913924259793991,0.06415348248797859,0.12033252711156914,0.5777991059897647,-0.1689562473303553,0.4857142857142857
20,0.6,0.1,2015-01-01,2018-01-01,175,0.2132675798495418,0.06842983622628318,0.12084374902684629,0.609089325295024,-0.1517559557933016,0.5714285714285714
20,0.6,0.15,2015-01-01,2018-01-01,176,0.25242563414375896,0.08011355659670882,0.12205289128550954,0.6934994707178255,-0.1555974176589635,0.5714285714285714
20,0.6,0.25,2015-01-01,2018-01-01,177,0.20798321404346076,0.06683422154909247,0.12068569282106655,0.5973401893268611,-0.1689562473303553,0.4857142857142857
25,0.25,0.1,2015-01-01,2018-01-01,178,0.19678088944935856,0.06343643606147853,0.11936188102174697,0.5758291482045804,-0.15233564498924368,0.5714285714285714
25,0.25,0.15,2015-01-01,2018-01-01,179,0.23131443500064885,0.07384487752609337,0.12032104399858042,0.6532539290781585,-0.15627232016496762,0.5714285714285714
