,strategy_cad,SPY_cad
2023-08-31,999995.8069500397,986571.1427986359
2023-09-01,1004487.225000276,988411.3029758048
2023-09-05,998828.7875084842,984139.4571992113
2023-09-06,997474.2713759942,977523.6384536183
2023-09-07,1002766.632521098,974522.4224436833
2023-09-08,1006313.6463615792,975990.1382122415
2023-09-11,1013381.5472773544,982408.8709559346
2023-09-12,1011646.8853078596,977019.7588076484
2023-09-13,1012834.8989890656,978158.9533369475
2023-09-14,1016361.9423513978,986593.0041021031
2023-09-15,1005567.8584519627,971280.1972624968
2023-09-18,1007026.8175701343,971849.7945271464
2023-09-19,1006583.9339444467,969834.3427974058
2023-09-20,1003256.167760188,960918.3405438865
2023-09-21,986922.5036326007,945035.9364396307
2023-09-22,987416.7651256991,942910.9776301371
2023-09-25,990391.5964058347,946876.0966167995
2023-09-26,977897.0204866847,932965.2879270718
2023-09-27,978268.8433902061,933337.6654815433
2023-09-28,977091.283389674,938748.6389332968
2023-09-29,975577.7444388578,936470.3835829768
2023-10-02,975238.510583537,936097.9391743661
2023-10-03,965671.7495107136,923567.2673310498
2023-10-04,967731.4754467882,930292.6600105349
2023-10-05,971971.2992279003,929942.1437595305
2023-10-06,983822.0228726203,940983.1716766824
2023-10-09,988195.1328083109,947007.5318541587
2023-10-10,990757.2220305123,951936.5538175486
2023-10-11,998682.9703849001,955835.9551855313
2023-10-12,997400.1740310746,950008.7478640939
2023-10-13,999756.572526596,945276.878756743
2023-10-16,1005828.108248267,955222.5684598084
2023-10-17,1006727.0469460348,955178.7121445959
2023-10-18,999713.4703310559,942450.8874452406
2023-10-19,987483.7685042912,934170.1332209114
2023-10-20,979075.9118325043,922691.0101306082
2023-10-23,973073.2933923233,921091.7922705518
2023-10-24,978915.8385576147,928036.265963682
2023-10-25,979650.2132699026,914716.915842071
2023-10-26,974478.4798994667,903763.5337012049
2023-10-27,963245.0730784968,899666.9794771832
2023-10-30,972813.8435909582,910423.2087620104
2023-10-31,967767.3741222549,916140.9090036948
2023-11-01,971690.52623217,925911.3071541884
2023-11-02,979066.3628985254,943655.7995932193
2023-11-03,978420.7722877004,952265.1419109467
2023-11-06,979041.1752965075,954455.8183391199
2023-11-07,979641.6361447598,957172.2357167302
2023-11-08,979892.8463592362,957873.268218739
2023-11-09,976885.8958332001,950403.0535761716
2023-11-10,981595.8486559317,965233.9089274142
2023-11-13,980698.2422717486,964313.8622658993
2023-11-14,983985.0359833338,983022.2576816576
2023-11-15,984705.8528580552,985103.3601759387
2023-11-16,988077.1755101158,986308.2723239174
2023-11-17,988394.0918745415,987535.0457753632
2023-11-20,990452.3496654059,995136.6956552899
2023-11-21,991381.3244389021,992967.8805305839
