,strategy_cad,SPY_cad
2023-11-22,992643.7401763084,996801.564279887
2023-11-23,992643.7401763084,996801.564279887
2023-11-24,992911.1973339515,997414.9510056099
2023-11-27,992582.1457477409,995618.6471436536
2023-11-28,991222.1865923576,996604.4114238481
2023-11-29,992251.2305641198,995903.3789218393
2023-11-30,995785.7912834992,999824.7084474283
2023-12-01,995983.6068990466,1005739.5615451516
2023-12-04,994185.4751610225,1000460.0233307574
2023-12-05,995482.8256184164,1000262.8704747185
2023-12-06,992197.4468321522,996232.0338693765
2023-12-07,994033.0641601842,1003833.6837493031
2023-12-08,997357.5084659988,1008149.3189869699
2023-12-11,995034.7871033326,1012070.5816584199
2023-12-12,999449.5542634726,1016692.9436860177
2023-12-13,1005276.1332536842,1030713.2594554984
2023-12-14,991675.5570904815,1034021.2022553645
2023-12-15,993552.9235319163,1028150.1386187146
2023-12-18,998722.1776983718,1033933.5564790786
2023-12-19,999258.8891572398,1040220.7871312735
2023-12-20,991340.1584326857,1025806.1656497149
2023-12-21,998060.3070665279,1035532.7743391352
2023-12-22,1000608.9549504208,1037613.8768334163
2023-12-26,1000998.5394543068,1041995.2296897627
2023-12-27,1003916.7918375891,1043879.2461821439
2023-12-28,1004634.119138671,1044273.5518942218
2023-12-29,1004033.6965269329,1041250.4077266805
2024-01-02,1001826.3188392894,1035423.2004052431
2024-01-03,996417.5450229199,1026967.2214824812
2024-01-04,997121.5933128251,1023659.2786826151
2024-01-05,995619.2356689225,1025061.3436866327
2024-01-08,996302.3186314206,1039695.0461818364
2024-01-09,995345.515424631,1038117.7564793861
2024-01-10,997082.9959380373,1043988.753261897
2024-01-11,993291.8114905882,1043528.7299311396
2024-01-12,990521.4872550322,1044251.6237366155
2024-01-15,990521.4872550322,1044251.6237366155
2024-01-16,983832.3859190132,1040417.9399873124
2024-01-17,983135.4192650868,1034634.5889810874
2024-01-18,993342.1991785367,1043835.3898669315
2024-01-19,1001757.006569985,1056848.0131986116
2024-01-22,1009203.334935315,1059082.5459419973
2024-01-23,1011194.4631653383,1062171.3408740791
2024-01-24,1007412.5740451015,1063332.4635609845
2024-01-25,1001758.3344783857,1069115.8145672095
2024-01-26,1003052.0497989388,1067757.605878404
2024-01-29,1006441.6461641891,1076213.584801166
2024-01-30,1003200.8031451107,1075381.183915937
2024-01-31,1003428.604731947,1057833.844332945
2024-02-01,1020496.8099219146,1071678.9354039931
2024-02-02,1025685.1002782763,1082960.9056382575
2024-02-05,1030294.2608177548,1079017.6479550623
2024-02-06,1032484.1113372359,1082150.3660564956
2024-02-07,1042303.1703910693,1091175.9422439071
2024-02-08,1040067.6140438704,1091657.8937322707
2024-02-09,1041717.1789004141,1097967.0525420718
2024-02-12,1041500.6231542251,1097485.1010537082
2024-02-13,1037680.7787343126,1082369.3802160018
2024-02-14,1042278.3795551709,1092205.562839314
2024-02-15,1048955.2835123655,1099741.495100561
2024-02-16,1055692.9995669075,1094264.804030128
2024-02-20,1045851.6406370202,1088240.4438526516
2024-02-21,1048593.9835591775,1089226.208132846
2024-02-22,1067020.3315307836,1111768.2872979075
2024-02-23,1071321.2975888622,1112535.037418596
2024-02-26,1069816.5663448523,1108460.3444980413
2024-02-27,1070720.7993856617,1110519.5856888553
2024-02-28,1069962.0495246472,1109051.869920297
2024-02-29,1067163.4541802993,1113038.8502104268
